,word,song,paragraph,line,index
289,I,Witness,8,40,290
290,looking,Witness,8,40,291
291,for,Witness,8,40,292
292,someone,Witness,8,40,293
293,who,Witness,8,40,294
294,speaks,Witness,8,40,295
295,my,Witness,8,40,296
296,language,Witness,8,40,297
297,Someone,Witness,8,41,298
298,to,Witness,8,41,299
299,ride,Witness,8,41,300
300,this,Witness,8,41,301
301,ride,Witness,8,41,302
302,to,Witness,8,41,303
303,ride,Witness,8,41,304
304,this,Witness,8,41,305
305,ride,Witness,8,41,306
306,with,Witness,8,41,307
307,me,Witness,8,41,308
308,with,Witness,8,41,309
309,me,Witness,8,41,310
310,Can,Witness,8,42,311
311,I,Witness,8,42,312
312,get,Witness,8,42,313
313,a,Witness,8,42,314
314,witness,Witness,8,42,315
315,witness,Witness,8,42,316
316,Will,Witness,8,43,317
317,you,Witness,8,43,318
318,be,Witness,8,43,319
319,my,Witness,8,43,320
320,witness,Witness,8,43,321
321,witness,Witness,8,43,322
322,Will,Witness,8,44,323
323,you,Witness,8,44,324
324,be,Witness,8,44,325
325,my,Witness,8,44,326
326,witness,Witness,8,44,327
327,I,Witness,8,45,328
328,just,Witness,8,45,329
329,looking,Witness,8,45,330
330,for,Witness,8,45,331
331,a,Witness,8,45,332
332,witness,Witness,8,45,333
333,ooh,Witness,8,45,334
334,ooh,Witness,8,45,335
335,ooh,Witness,8,45,336
336,ah,Witness,8,45,337
337,in,Witness,8,45,338
338,all,Witness,8,45,339
339,of,Witness,8,45,340
340,this,Witness,8,45,341
341,Looking,Witness,8,46,342
342,for,Witness,8,46,343
343,a,Witness,8,46,344
344,witness,Witness,8,46,345
345,to,Witness,8,46,346
346,get,Witness,8,46,347
347,me,Witness,8,46,348
348,through,Witness,8,46,349
349,this,Witness,8,46,350
